date,open,high,low,price,volume
2025-03-29 07:59:59.999,126.95,127.12,125.45,126.39,149985.08
2025-03-29 08:59:59.999,126.39,127.1,126.24,126.89,111294.669
2025-03-29 09:59:59.999,126.89,127.1,125.57,126.69,102122.247
2025-03-29 10:59:59.999,126.69,126.85,125.63,125.89,89496.292
2025-03-29 11:59:59.999,125.88,126.06,124.31,125.3,243058.117
2025-03-29 12:59:59.999,125.3,125.88,125.0,125.51,85425.602
2025-03-29 13:59:59.999,125.5,126.76,125.5,126.76,106904.563
2025-03-29 14:59:59.999,126.76,126.82,125.72,125.91,77540.327
2025-03-29 15:59:59.999,125.91,126.58,125.9,126.32,50915.941
2025-03-29 16:59:59.999,126.32,126.79,125.11,125.29,107466.456
2025-03-29 17:59:59.999,125.29,125.87,123.71,124.51,248684.023
2025-03-29 18:59:59.999,124.51,125.7,124.41,124.92,76027.303
2025-03-29 19:59:59.999,124.93,125.3,124.39,125.3,62803.228
2025-03-29 20:59:59.999,125.3,125.43,123.85,124.03,73063.376
2025-03-29 21:59:59.999,124.03,124.81,123.27,124.45,67356.532
2025-03-29 22:59:59.999,124.45,124.45,122.68,123.38,104337.721
2025-03-29 23:59:59.999,123.39,124.76,123.17,124.58,50730.557
2025-03-30 00:59:59.999,124.58,124.88,123.49,124.71,75422.331
2025-03-30 01:59:59.999,124.71,125.5,124.7,125.31,92786.68
2025-03-30 02:59:59.999,125.31,126.43,125.18,126.24,90409.503
2025-03-30 03:59:59.999,126.24,126.6,125.66,125.71,72653.325
2025-03-30 04:59:59.999,125.7,126.48,125.7,126.25,41212.098
2025-03-30 05:59:59.999,126.25,126.56,125.78,125.95,47007.425
2025-03-30 06:59:59.999,125.94,126.08,125.16,125.88,56340.838
2025-03-30 07:59:59.999,125.88,126.27,125.3,125.48,44040.13
2025-03-30 08:59:59.999,125.48,126.24,125.43,126.14,44408.869
2025-03-30 09:59:59.999,126.15,126.18,125.58,126.07,39781.649
2025-03-30 10:59:59.999,126.07,126.43,124.79,124.99,115044.587
2025-03-30 11:59:59.999,124.98,125.9,124.66,125.12,55718.94
2025-03-30 12:59:59.999,125.12,125.43,124.72,125.06,49794.287
2025-03-30 13:59:59.999,125.07,125.1,123.15,123.44,147825.95
2025-03-30 14:59:59.999,123.44,125.06,123.37,124.71,135491.385
2025-03-30 15:59:59.999,124.72,125.59,124.53,124.92,54104.626
2025-03-30 16:59:59.999,124.92,125.23,123.32,123.7,70244.964
2025-03-30 17:59:59.999,123.7,124.67,123.0,124.52,58672.206
2025-03-30 18:59:59.999,124.52,126.82,124.52,126.22,99143.853
2025-03-30 19:59:59.999,126.23,127.08,125.71,125.85,62532.492
2025-03-30 20:59:59.999,125.84,126.37,125.23,125.35,33526.521
2025-03-30 21:59:59.999,125.36,126.15,124.32,124.77,55765.816
2025-03-30 22:59:59.999,124.76,125.98,123.19,125.09,136737.452
2025-03-30 23:59:59.999,125.08,125.16,123.94,124.82,65109.369
2025-03-31 00:59:59.999,124.83,125.15,122.75,123.81,119358.605
2025-03-31 01:59:59.999,123.82,126.52,123.64,126.22,132015.953
2025-03-31 02:59:59.999,126.22,127.63,125.56,126.59,119493.255
2025-03-31 03:59:59.999,126.58,127.19,124.22,124.56,85887.656
2025-03-31 04:59:59.999,124.57,125.48,124.33,125.0,115996.228
2025-03-31 05:59:59.999,125.0,126.68,124.85,126.03,88502.196
2025-03-31 06:59:59.999,126.04,126.53,125.23,126.25,105904.726
2025-03-31 07:59:59.999,126.25,127.08,125.28,125.88,118369.332
2025-03-31 08:59:59.999,125.89,126.7,125.27,125.39,89684.176
2025-03-31 09:59:59.999,125.39,125.47,123.43,123.92,179902.638
2025-03-31 10:59:59.999,123.92,124.77,123.05,124.57,156695.916
2025-03-31 11:59:59.999,124.58,124.82,123.41,124.28,108589.183
2025-03-31 12:59:59.999,124.27,126.16,123.66,125.91,304711.613
2025-03-31 13:59:59.999,125.92,126.29,123.22,125.49,491358.542
2025-03-31 14:59:59.999,125.49,127.21,125.44,126.72,295377.831
2025-03-31 15:59:59.999,126.72,127.81,126.71,126.78,212166.163
2025-03-31 16:59:59.999,126.77,127.36,125.79,125.98,97517.836
2025-03-31 17:59:59.999,125.98,126.56,123.83,124.09,167769.221
2025-03-31 18:59:59.999,124.1,126.56,124.1,125.68,192097.163
2025-03-31 19:59:59.999,125.67,126.26,125.15,125.25,84841.647
2025-03-31 20:59:59.999,125.25,125.98,125.13,125.39,44628.157
2025-03-31 21:59:59.999,125.38,126.27,125.38,125.74,39795.187
2025-03-31 22:59:59.999,125.74,125.98,124.85,125.54,189953.318
2025-03-31 23:59:59.999,125.53,126.18,124.47,124.54,190012.311
2025-04-01 00:59:59.999,124.53,125.18,124.03,124.51,140352.821
2025-04-01 01:59:59.999,124.5,124.74,123.74,124.5,122144.313
2025-04-01 02:59:59.999,124.5,126.29,124.44,126.24,89191.767
2025-04-01 03:59:59.999,126.25,126.72,125.76,126.06,104838.33
2025-04-01 04:59:59.999,126.07,126.3,125.6,126.19,61377.308
2025-04-01 05:59:59.999,126.18,126.78,125.94,125.98,58548.101
2025-04-01 06:59:59.999,125.99,126.75,125.59,126.56,98782.487
2025-04-01 07:59:59.999,126.56,126.71,126.03,126.69,70578.435
2025-04-01 08:59:59.999,126.69,129.97,126.68,129.38,270383.195
2025-04-01 09:59:59.999,129.37,129.84,128.42,129.27,157974.069
2025-04-01 10:59:59.999,129.27,129.33,127.83,127.91,137647.962
2025-04-01 11:59:59.999,127.91,128.21,127.13,127.61,149622.775
2025-04-01 12:59:59.999,127.6,127.9,126.43,127.17,125797.772
2025-04-01 13:59:59.999,127.18,128.37,126.9,127.59,152129.893
2025-04-01 14:59:59.999,127.59,127.83,124.68,127.05,380766.528
2025-04-01 15:59:59.999,127.05,130.55,126.76,129.27,666792.891
2025-04-01 16:59:59.999,129.27,129.64,128.14,128.25,163899.8
2025-04-01 17:59:59.999,128.24,128.44,127.04,127.29,109415.546
2025-04-01 18:59:59.999,127.29,127.31,125.52,126.49,136051.244
2025-04-01 19:59:59.999,126.49,127.12,126.45,126.82,82315.246
2025-04-01 20:59:59.999,126.82,126.83,125.3,126.43,102923.66
2025-04-01 21:59:59.999,126.43,126.79,126.13,126.33,50098.365
2025-04-01 22:59:59.999,126.33,127.24,125.92,126.77,61241.851
2025-04-01 23:59:59.999,126.77,127.53,126.14,126.67,61403.489
2025-04-02 00:59:59.999,126.68,126.96,126.03,126.22,69975.919
2025-04-02 01:59:59.999,126.22,126.24,125.4,125.69,87965.843
2025-04-02 02:59:59.999,125.7,125.78,124.1,124.76,130357.132
2025-04-02 03:59:59.999,124.76,125.36,124.22,124.32,72077.707
2025-04-02 04:59:59.999,124.32,125.03,124.21,124.89,58368.068
2025-04-02 05:59:59.999,124.9,124.9,123.5,123.75,106911.44
2025-04-02 06:59:59.999,123.75,124.6,123.7,124.04,67695.221
2025-04-02 07:59:59.999,124.04,124.84,123.93,124.55,82913.158
2025-04-02 08:59:59.999,124.54,125.84,124.28,125.45,112879.11
2025-04-02 09:59:59.999,125.45,126.73,125.32,126.04,114013.734
2025-04-02 10:59:59.999,126.04,126.49,125.46,125.73,61322.489
2025-04-02 11:59:59.999,125.74,126.32,125.64,125.69,55705.863
2025-04-02 12:59:59.999,125.7,126.8,125.12,126.6,115372.655
2025-04-02 13:59:59.999,126.61,127.93,125.16,126.22,161787.931
2025-04-02 14:59:59.999,126.21,128.13,126.14,127.71,162794.254
2025-04-02 15:59:59.999,127.71,131.16,127.61,130.43,1019261.558
2025-04-02 16:59:59.999,130.43,131.79,129.77,131.15,347956.192
2025-04-02 17:59:59.999,131.15,131.52,129.27,129.67,301344.595
2025-04-02 18:59:59.999,129.66,130.31,129.17,130.0,94479.493
2025-04-02 19:59:59.999,130.01,131.5,130.01,131.43,86881.916
2025-04-02 20:59:59.999,131.42,136.21,126.79,128.03,1217439.208
2025-04-02 21:59:59.999,128.03,128.28,124.61,125.37,320140.134
2025-04-02 22:59:59.999,125.36,125.36,118.2,118.68,816305.176
2025-04-02 23:59:59.999,118.67,119.54,117.0,117.42,624959.884
2025-04-03 00:59:59.999,117.42,120.16,116.25,119.98,507610.851
2025-04-03 01:59:59.999,119.98,120.41,118.47,119.4,463409.951
2025-04-03 02:59:59.999,119.4,120.84,119.03,120.8,197306.518
2025-04-03 03:59:59.999,120.79,120.94,119.68,119.8,213737.524
2025-04-03 04:59:59.999,119.81,120.86,119.42,120.3,157006.136
2025-04-03 05:59:59.999,120.3,120.63,118.71,118.94,158021.287
2025-04-03 06:59:59.999,118.94,119.31,117.9,118.27,301705.439
2025-04-03 07:59:59.999,118.27,118.95,117.9,118.64,223067.169
2025-04-03 08:59:59.999,118.64,119.22,118.04,118.9,182374.56
2025-04-03 09:59:59.999,118.91,119.08,117.7,117.91,124032.43
2025-04-03 10:59:59.999,117.91,118.38,115.4,115.96,457279.877
2025-04-03 11:59:59.999,115.96,116.57,115.11,115.74,207930.085
2025-04-03 12:59:59.999,115.74,116.04,112.59,113.11,483080.193
2025-04-03 13:59:59.999,113.12,115.56,112.84,114.81,388978.372
2025-04-03 14:59:59.999,114.8,114.87,112.24,112.61,336281.863
2025-04-03 15:59:59.999,112.61,114.47,112.55,114.16,206482.525
2025-04-03 16:59:59.999,114.17,114.82,113.43,113.68,170189.168
2025-04-03 17:59:59.999,113.68,114.8,113.26,114.22,124265.603
2025-04-03 18:59:59.999,114.22,116.0,113.78,115.1,485766.262
2025-04-03 19:59:59.999,115.11,115.77,114.88,115.42,101925.517
2025-04-03 20:59:59.999,115.43,116.56,115.08,116.25,113288.927
2025-04-03 21:59:59.999,116.26,117.4,116.01,117.18,80094.459
2025-04-03 22:59:59.999,117.18,117.37,116.5,117.01,94475.34
2025-04-03 23:59:59.999,117.0,117.45,116.05,117.17,76557.222
2025-04-04 00:59:59.999,117.17,117.5,115.92,116.0,153688.816
